"is_challenger","match_id","game_length","placement","level","last_round","gold_left","n_legend","avg_unit_level","board_cost","match_avg_unit_level","match_avg_board_cost"
"Master/Grandmaster","NA1_4801298168",2101,"6","8",31,1,"0",1.33333333333333,42,1.81269841269841,44.8
"Master/Grandmaster","NA1_4801298168",2101,"1","7",37,11,"1",2.28571428571429,44,1.81269841269841,44.8
"Master/Grandmaster","NA1_4801303009",2129,"6","8",33,1,"0",1.75,47,1.99925595238095,39.125
"Master/Grandmaster","NA1_4801303009",2129,"5","7",33,50,"0",2.28571428571429,30,1.99925595238095,39.125
"Master/Grandmaster","NA1_4801303009",2129,"7","6",31,9,"0",2.33333333333333,30,1.99925595238095,39.125
"Challenger","NA1_4801305157",2406,"7","9",33,3,"0",1.72727272727273,62,1.97930194805195,57.375
"Challenger","NA1_4801305157",2406,"3","8",37,8,"0",2.375,54,1.97930194805195,57.375
"Challenger","NA1_4801305157",2406,"1","9",42,2,"1",2.1,76,1.97930194805195,57.375
"Master/Grandmaster","NA1_4801305429",2039,"2","7",37,1,"1",2.71428571428571,48,2.07415674603175,42.875
"Master/Grandmaster","NA1_4801305429",2039,"7","8",27,0,"1",1.75,34,2.07415674603175,42.875
"Master/Grandmaster","NA1_4801305429",2039,"5","8",33,21,"1",2.125,52,2.07415674603175,42.875
"Challenger","NA1_4801309980",2246,"4","7",34,0,"1",2.14285714285714,35,2.22197420634921,43.5
"Master/Grandmaster","NA1_4801309980",2246,"5","7",33,1,"1",2.28571428571429,34,2.22197420634921,43.5
"Challenger","NA1_4801309980",2246,"7","7",27,0,"0",2.42857142857143,39,2.22197420634921,43.5
"Master/Grandmaster","NA1_4801312683",2098,"5","9",34,0,"1",2,48,1.87455808080808,51
"Challenger","NA1_4801312683",2098,"4","9",34,4,"1",1.77777777777778,53,1.87455808080808,51
"Challenger","NA1_4801312683",2098,"3","9",35,1,"1",1.88888888888889,42,1.87455808080808,51
"Challenger","NA1_4801314265",2065,"8","8",27,0,"1",1.5,26,2.02008928571429,41.625
"Challenger","NA1_4801314265",2065,"6","7",30,12,"0",2,40,2.02008928571429,41.625
"Master/Grandmaster","NA1_4801314265",2065,"3","8",34,0,"0",2,35,2.02008928571429,41.625
"Master/Grandmaster","NA1_4801316249",1991,"1","9",37,13,"0",2.55555555555556,61,1.97569444444444,45.25
"Challenger","NA1_4801316249",1991,"2","8",37,1,"1",2.125,44,1.97569444444444,45.25
"Master/Grandmaster","NA1_4801316249",1991,"4","9",34,2,"1",1.5,52,1.97569444444444,45.25
"Master/Grandmaster","NA1_4801317753",1887,"8","6",24,1,"0",2.16666666666667,28,1.96279761904762,39.75
"Challenger","NA1_4801317753",1887,"3","8",33,1,"1",1.875,41,1.96279761904762,39.75
"Challenger","NA1_4801317753",1887,"2","8",34,1,"1",2,44,1.96279761904762,39.75
"Challenger","NA1_4801322637",2242,"2","7",37,1,"1",2.71428571428571,47,1.96428571428571,39
"Challenger","NA1_4801322637",2242,"3","8",35,1,"1",1.625,46,1.96428571428571,39
"Master/Grandmaster","NA1_4801322637",2242,"6","8",28,0,"1",1.75,40,1.96428571428571,39
"Challenger","NA1_4801326017",1922,"5","8",30,0,"1",1.375,32,1.87775974025974,42.5
"Challenger","NA1_4801326017",1922,"7","7",28,0,"1",1.57142857142857,32,1.87775974025974,42.5
"Challenger","NA1_4801326017",1922,"6","7",30,1,"0",2.14285714285714,36,1.87775974025974,42.5
"Master/Grandmaster","NA1_4801326777",2075,"8","6",24,6,"1",1.83333333333333,27,2.11433531746032,45.875
"Challenger","NA1_4801326777",2075,"1","8",38,32,"0",1.875,54,2.11433531746032,45.875
"Master/Grandmaster","NA1_4801326777",2075,"6","8",28,1,"1",1.77777777777778,57,2.11433531746032,45.875
